ESTACIÓN DE SERVICIO,RAZÓN SOCIAL,DOMICILIO,ENTIDAD FEDERATIVA,MUNICIPIO,EXPEDIENTE,FECHA DE VERIFICACIÓN,SEMAFORO AL 18 DE SEPTIEMBRE DE 2012
7470,VERGARA CARRILLO JOSE ANTONIO LUIS                                                                                                                                                                                                                             ,CARRT. A MOCTEZUMA KM. 6                                                                                                                                                                                                                                       ,SAN LUIS POTOSI          ,VILLA DE ARISTA                                                                                                                                                                                                                                                ,03/012162-2012                                    ,14/06/2012,VERDE
7471,"CORPORATIVO AXA, S. A. DE C. V.                                                                                                                                                                                                                                ",CARRT. MEXICO-QUERETARO KM. 168+900                                                                                                                                                                                                                            ,QUERETARO                ,SAN JUAN DEL RIO                                                                                                                                                                                                                                               ,07/010437-2012                                    ,26/05/2012,AMARILLO
7476,"SUPER'S RAPIDITOS BIP BIP, S.A. DE C.V.                                                                                                                                                                                                                        ",BLVD. OSCAR FLORES SANCHEZ NO. 5004                                                                                                                                                                                                                            ,CHIHUAHUA                ,JUAREZ                                                                                                                                                                                                                                                         ,18/014564-2012                                    ,25/07/2012,VERDE
7477,"COMBUSTIBLES POSEIDON, S.A. DE C.V.                                                                                                                                                                                                                            ",CARRETERA GUADALAJARA-MORELIA KM. 140+500 S/N                                                                                                                                                                                                                  ,JALISCO                  ,TLAJOMULCO DE ZUÑIGA                                                                                                                                                                                                                                           ,15/012910-2012                                    ,14/06/2012,VERDE
748,MANUEL ADONAY VARGAS CUEVAS                                                                                                                                                                                                                                    ,CARR. PAPANTLA-ESPINAL                                                                                                                                                                                                                                         ,VERACRUZ                 ,ESPINAL                                                                                                                                                                                                                                                        ,08/016587-2012                                    ,15/08/2012,VERDE
7480,AUTOSERVICIOS DE COMBUSTION Y LUBRICACION DE COLIMA REJAGAS S.A. DE C.V.                                                                                                                                                                                       ,TERCER ANILLO PERIFERICO NO. 470                                                                                                                                                                                                                               ,COLIMA                   ,VILLA DE ALVAREZ                                                                                                                                                                                                                                               ,11/009654-2012                                    ,10/05/2012,VERDE
7481,"GASOLINERA J.V., S.A. DE C.V.                                                                                                                                                                                                                                  ",AV. HIDALGO NO. 102                                                                                                                                                                                                                                            ,CHIHUAHUA                ,JIMENEZ                                                                                                                                                                                                                                                        ,16/009820-2012                                    ,08/05/2012,VERDE
7482,"SERVICIO CASIMIRO LICEAGA, S.A. DE C.V.                                                                                                                                                                                                                        ",CASIMIRO LICEAGA NO. 364 ESQ. CALLE ALBINO GARCIA                                                                                                                                                                                                              ,GUANAJUATO               ,IRAPUATO                                                                                                                                                                                                                                                       ,20/006315-2012                                    ,23/03/2012,VERDE
7484,"MULTISERVICIOS LA PILARICA, S.A. DE C.V.                                                                                                                                                                                                                       ",AV. SERDAN #500 PTE.                                                                                                                                                                                                                                           ,SINALOA                  ,AHOME                                                                                                                                                                                                                                                          ,26/013961-2012                                    ,12/07/2012,VERDE
7485,"SERVICIO TOPO CHICO, S.A. DE C.V.                                                                                                                                                                                                                              ",CARRETERA NACIONAL KM 242 + 712 ESQ. ALFOSO MTZ. D.                                                                                                                                                                                                            ,NUEVO LEON               ,SANTIAGO                                                                                                                                                                                                                                                       ,17/008957-2012                                    ,25/04/2012,VERDE
7486,JORGE LUIS PEREGRINO OCAÑA                                                                                                                                                                                                                                     ,CARRETERA CASAS GRANDES NO. 4251                                                                                                                                                                                                                               ,CHIHUAHUA                ,JUAREZ                                                                                                                                                                                                                                                         ,18/013677-2012                                    ,07/07/2012,VERDE
7487,SERVICIO AGUA AZUL S.A. DE C.V.                                                                                                                                                                                                                                ,CARRETERA LAGO DE GUADALUPE KM.1 MZ.124 LOTE 3                                                                                                                                                                                                                 ,MEXICO                   ,ATIZAPAN DE ZARAGOZA                                                                                                                                                                                                                                           ,02/006993-2012                                    ,13/04/2012,VERDE
7488,"GASOLINERA SERVITEC, S.A. DE C.V.                                                                                                                                                                                                                              ",BLVD. DIVISION DEL NORTE NO. 2299                                                                                                                                                                                                                              ,DURANGO                  ,GOMEZ PALACIO                                                                                                                                                                                                                                                  ,16/009833-2012                                    ,16/05/2012,VERDE
749,"GASOLINERIAS GOMEZ, S.A. DE C.V.                                                                                                                                                                                                                               ",AVILA CAMACHO NO. 141                                                                                                                                                                                                                                          ,VERACRUZ                 ,GUTIERREZ ZAMORA                                                                                                                                                                                                                                               ,20/014654-2012                                    ,20/07/2012,ROJO
7492,"SUPER'S RAPIDITOS BIP BIP, S.A. DE C.V.                                                                                                                                                                                                                        ","BLVD. ZARAGOZA NO. 6141,                                                                                                                                                                                                                                       ",CHIHUAHUA                ,JUAREZ                                                                                                                                                                                                                                                         ,18/013678-2012                                    ,07/07/2012,VERDE
7494,"ENERGETICOS POTOSINOS, S.A. DE C.V.                                                                                                                                                                                                                            ",AV. PEDRO ANTONIO SANTOS NO. 643                                                                                                                                                                                                                               ,SAN LUIS POTOSI          ,CIUDAD VALLES                                                                                                                                                                                                                                                  ,03/009506-2012                                    ,10/05/2012,ROJO
7499,"SERVICIOS Y COMBUSTIBLES COVIGA, S.A DE C.V.                                                                                                                                                                                                                   ",AV. FELIX GALVAN NO. 600                                                                                                                                                                                                                                       ,NUEVO LEON               ,SAN NICOLAS DE LOS GARZA                                                                                                                                                                                                                                       ,03/007040-2012                                    ,10/04/2012,VERDE
75,"SERVICIO DAKOTA, SA DE CV                                                                                                                                                                                                                                      ",AV. DAKOTA NO. 56                                                                                                                                                                                                                                              ,DISTRITO FEDERAL         ,BENITO JUAREZ                                                                                                                                                                                                                                                  ,20/009997-2012                                    ,10/05/2012,VERDE
7502,"GASOLINERA ALPINA, S. A. DE C. V.                                                                                                                                                                                                                              ",CALZADA ZAVALETA #5507                                                                                                                                                                                                                                         ,PUEBLA                   ,SAN ANDRES CHOLULA                                                                                                                                                                                                                                             ,21/011913-2012                                    ,31/05/2012,VERDE
7503,"SERVICIO GRAN AVENIDA, S.A. DE C.V.                                                                                                                                                                                                                            ",BOULEVARD CARMEN MILLAN NUMERO 2                                                                                                                                                                                                                               ,PUEBLA                   ,PUEBLA                                                                                                                                                                                                                                                         ,21/009171-2012                                    ,23/04/2012,AMARILLO
7503,"SERVICIO GRAN AVENIDA, S.A. DE C.V.                                                                                                                                                                                                                            ",BOULEVARD CARMEN MILLAN NUMERO 2                                                                                                                                                                                                                               ,PUEBLA                   ,PUEBLA                                                                                                                                                                                                                                                         ,21/011004-2012                                    ,22/05/2012,VERDE
7505,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V                                                                                                                                                                                                                    ",SANTOS DEGOLLADO #1799 SUR                                                                                                                                                                                                                                     ,SINALOA                  ,AHOME                                                                                                                                                                                                                                                          ,26/013962-2012                                    ,12/07/2012,VERDE
7507,SUPER SERVICIO VEGA S.A. DE C.V.                                                                                                                                                                                                                               ,CARRETERA CARDEL-NAUTLA KM 90                                                                                                                                                                                                                                  ,VERACRUZ                 ,VEGA DE ALATORRE                                                                                                                                                                                                                                               ,08/015084-2012                                    ,12/08/2012,ROJO
7508,"GASOLINERA LOS TULIPANES, S.A. DE C.V.                                                                                                                                                                                                                         ",CARRT. MORELIA-SALAMANCA KM 49+150 ENTR.LIB.URIANG                                                                                                                                                                                                             ,GUANAJUATO               ,URIANGATO                                                                                                                                                                                                                                                      ,21/006675-2012                                    ,26/03/2012,VERDE
7510,MARIO AGUIRRE REYES                                                                                                                                                                                                                                            ,CALZ. INDEPENDENCIA #52                                                                                                                                                                                                                                        ,OAXACA                   ,MARISCALA DE JUAREZ                                                                                                                                                                                                                                            ,20/011899-2012                                    ,10/06/2012,AMARILLO
7511,SERVICIO MERIDA NORTE S.A. DE C.V.                                                                                                                                                                                                                             ,"CALLE 9 ""A"" # 304 X 12 Y 12-A                                                                                                                                                                                                                                  ",YUCATAN                  ,MERIDA                                                                                                                                                                                                                                                         ,14/008838-2012                                    ,26/04/2012,VERDE
7513,"SERVICIO PESCADERO, S.A. DE C.V.                                                                                                                                                                                                                               ",KM 61+900 CARRT.TRANSP.TRAMO PESCADERO L-628 Y 652                                                                                                                                                                                                             ,BAJA CALIFORNIA SUR      ,LA PAZ                                                                                                                                                                                                                                                         ,23/006968-2012                                    ,15/04/2012,VERDE
7515,GABRIELA MONDRAGON YANEZ                                                                                                                                                                                                                                       ,CARRT. A CHICHIMEQUILLAS # 5500                                                                                                                                                                                                                                ,QUERETARO                ,SANTIAGO DE QUERETARO                                                                                                                                                                                                                                          ,13/006149-2012                                    ,02/04/2012,ROJO
7519,"ESTACION DE SERVICIO FLORIDA, S.A. DE C.V.                                                                                                                                                                                                                     ",BAJA CALIFORNIA ESQ. NINOS HEROES L-51 Y 52                                                                                                                                                                                                                    ,GUERRERO                 ,ACAPULCO DE JUAREZ                                                                                                                                                                                                                                             ,02/008484-2012                                    ,02/05/2012,VERDE
7525,"SERVICIOS COSTA AZUL TURQUESA, S.A. DE C.V.                                                                                                                                                                                                                    ",AV. CANCUN LOTE 2 MZ-7 SUPER MANZANA 509                                                                                                                                                                                                                       ,QUINTANA ROO             ,BENITO JUAREZ                                                                                                                                                                                                                                                  ,09/006740-2012                                    ,27/03/2012,VERDE
7528,JATEÑO ORIENTE S.A. DE C.V.                                                                                                                                                                                                                                    ,PROLONGACION DE MATAMOROS # 1101                                                                                                                                                                                                                               ,SAN LUIS POTOSI          ,MATEHUALA                                                                                                                                                                                                                                                      ,17/009867-2012                                    ,09/05/2012,VERDE
7531,"MER DE CHIHUAHUA, S.A. DE C.V.                                                                                                                                                                                                                                 ",BLVD. ANTONIO ORTIZ MENA NO. 5007                                                                                                                                                                                                                              ,CHIHUAHUA                ,CHIHUAHUA                                                                                                                                                                                                                                                      ,07/005669-2012                                    ,03/04/2012,VERDE
7533,"SERVICIO PLAZA CIRCUNVALACION, SA DE CV                                                                                                                                                                                                                        ",AV.CIRCUNVALACION SUR # 30                                                                                                                                                                                                                                     ,QUERETARO                ,SANTIAGO DE QUERETARO                                                                                                                                                                                                                                          ,13/007236-2012                                    ,11/04/2012,VERDE
7538,"ERGOPE, S.A. DE C.V.                                                                                                                                                                                                                                           ",AVENIDA PIE DE LA CUESTA # 2301                                                                                                                                                                                                                                ,QUERETARO                ,SANTIAGO DE QUERETARO                                                                                                                                                                                                                                          ,07/009514-2012                                    ,17/05/2012,VERDE
7541,AUTOSERVICIO JOCARAN DE PROGRESO S.A. DE C.V.                                                                                                                                                                                                                  ,CARRETERA PROGRESO-IXMIQUILPAN KM 1 S/N                                                                                                                                                                                                                        ,HIDALGO                  ,PROGRESO DE OBREGON                                                                                                                                                                                                                                            ,20/009111-2012                                    ,02/05/2012,VERDE
7542,"SERVICIO ESCOSERRA, S.A. DE C.V.                                                                                                                                                                                                                               ",BLVD. DR. JESUS KUMATE RODRIGUEZ NO. 4271 SUR                                                                                                                                                                                                                  ,SINALOA                  ,CULIACAN                                                                                                                                                                                                                                                       ,26/009298-2012                                    ,27/04/2012,AMARILLO
7543,"SERVICIO ARMLO, S. A. DE C. V.                                                                                                                                                                                                                                 ",L-1 Y 2 MZ 40 ESQ.AV.20 NOVIEMBRE Y MORELOS                                                                                                                                                                                                                    ,VERACRUZ                 ,POZA RICA DE HIDALGO                                                                                                                                                                                                                                           ,20/013753-2012                                    ,11/07/2012,VERDE
7548,"GASOLINERA OCOCINGO, S.A. DE C.V.                                                                                                                                                                                                                              ",CARRT.FED.199 PALENQUE S.CRIST.DE LAS CASAS KM.145                                                                                                                                                                                                             ,CHIAPAS                  ,OCOSINGO                                                                                                                                                                                                                                                       ,14/015261-2012                                    ,08/08/2012,VERDE
7549,"GS GAS SENDERO, S.A. DE C.V.                                                                                                                                                                                                                                   ",AV. SENDERO NORTE #130 PTE.                                                                                                                                                                                                                                    ,NUEVO LEON               ,GENERAL ESCOBEDO                                                                                                                                                                                                                                               ,22/006420-2012                                    ,02/04/2012,VERDE
7550,COMBUSTIBLES CALETA S.A. DE C.V.                                                                                                                                                                                                                               ,CARRET. COSTERA SUR KM. 4+230                                                                                                                                                                                                                                  ,QUINTANA ROO             ,COZUMEL                                                                                                                                                                                                                                                        ,14/011629-2012                                    ,08/06/2012,VERDE
7551,"SUPERSERVICIO DEL VALLE DEL ORIENTE, S.A. DE C.V.                                                                                                                                                                                                              ",C.TOL-MOR TRAM.LIM.MEX-MICH-T.HUAJUMBARO KM112+550                                                                                                                                                                                                             ,MICHOACAN                ,ZITACUARO                                                                                                                                                                                                                                                      ,22/016565-2012                                    ,16/08/2012,VERDE
7553,BORUNDA VELADOR OMAR HUMBERTO                                                                                                                                                                                                                                  ,CHIHUAHUA CUAUHTEMOC VIA LIBRE KM KM. 45                                                                                                                                                                                                                       ,CHIHUAHUA                ,CHIHUAHUA                                                                                                                                                                                                                                                      ,18/012567-2012                                    ,19/06/2012,VERDE
7554,"ESTACION REAL DE LA PLATA, SA DE CV                                                                                                                                                                                                                            ","BLVD. RAMON G. BONFIL LOTES 74,75 Y 76 NUM. 4171                                                                                                                                                                                                               ",HIDALGO                  ,PACHUCA DE SOTO                                                                                                                                                                                                                                                ,20/009101-2012                                    ,25/04/2012,VERDE
7556,"SERVICIO PANTEPEC, S.A. DE C.V.                                                                                                                                                                                                                                ",BOULEVARD ALAMO-IDOLO S/N                                                                                                                                                                                                                                      ,VERACRUZ                 ,TEMAPACHE                                                                                                                                                                                                                                                      ,13/014296-2012                                    ,17/07/2012,VERDE
7557,"SERVICIO RIVIERA PLAZA, S.A. DE C.V.                                                                                                                                                                                                                           ","CALLE 30 AV.NORTE MANZANA 18 LTS.10,13 AL 18 Y13-1                                                                                                                                                                                                             ",QUINTANA ROO             ,SOLIDARIDAD                                                                                                                                                                                                                                                    ,09/006812-2012                                    ,13/04/2012,VERDE
7559,SERVICIO LAS BAJADAS S.A. DE C.V.                                                                                                                                                                                                                              ,PROLONGACION J.B LOBOS PARCELA 21 LOTE 4                                                                                                                                                                                                                       ,VERACRUZ                 ,VERACRUZ                                                                                                                                                                                                                                                       ,13/011567-2012                                    ,01/06/2012,VERDE
756,"SERVICIO LOMAS DEL MIRADOR, S.A. DE C.V.                                                                                                                                                                                                                       ",KM. 140.500 CARR. MEXICO-NAUTLA                                                                                                                                                                                                                                ,VERACRUZ                 ,MARTINEZ DE LA TORRE                                                                                                                                                                                                                                           ,08/015069-2012                                    ,10/08/2012,VERDE
7560,"PETROMAX, S.A. DE C.V.                                                                                                                                                                                                                                         ",CARRETERA TRANSPENINSULAR NO. 8781                                                                                                                                                                                                                             ,BAJA CALIFORNIA          ,ENSENADA                                                                                                                                                                                                                                                       ,10/011477-2012                                    ,11/06/2012,VERDE
7562,"EL CALLEJON DE MORELOS, S.A. DE C.V.                                                                                                                                                                                                                           ",CARRT.FEDERAL GUADALAJARA LA BARCA KM.79.6 CUITZEO                                                                                                                                                                                                             ,JALISCO                  ,PONCITLAN                                                                                                                                                                                                                                                      ,09/009614-2012                                    ,16/05/2012,VERDE
7564,"GASOLINERA CASCO HERMANOS, S.A. DE C.V.                                                                                                                                                                                                                        ",CARRET. GUADALAJARA-COLIMA KM. 12500+250                                                                                                                                                                                                                       ,JALISCO                  ,TLAJOMULCO DE ZUÑIGA                                                                                                                                                                                                                                           ,15/012941-2012                                    ,14/06/2012,ROJO
757,"SERVICIO MANTEROLA, SA DE CV                                                                                                                                                                                                                                   ",AV. MANUEL AVILA CAMACHO NO. 701                                                                                                                                                                                                                               ,VERACRUZ                 ,MARTINEZ DE LA TORRE                                                                                                                                                                                                                                           ,08/015063-2012                                    ,08/08/2012,VERDE
7570,"MINI ESTACION TEPA, S.A. DE C.V.                                                                                                                                                                                                                               ",AV. JOSE GONZALEZ CARNICERITO NO. 655                                                                                                                                                                                                                          ,JALISCO                  ,TEPATITLAN DE MORELOS                                                                                                                                                                                                                                          ,09/010536-2012                                    ,20/05/2012,VERDE
